nama_aplikasi,app_id,nama_pengguna,rating,judul_review,konten_review,label,alasan,review_id,jumlah_like
ChatGPT,6448311069,/$3!)jens,1,Susah salin,"Setelah di perbarui malah ga bisa nyalin, harusnya jangan rilis perbaikan aplikasi kalau malah makin bug",negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,Fagahan,1,BODOH COK,PUNISHER ONE LAST KILL KAN ADA DI DISNEY KATA DIA GAK ADA ANJING EMANG TOLOL DIA WAKTU GUARDIAN OF GALAXY SERIS YA YANG SEASON TIGA YANG ADA SPIDERMAN YANG BACK TO NEW YORK GROOVE DAN DRIVE MY CARNAGE KAN ADA SPIDERMAN DIA BILANG GAK ADA EMANG NGENTOT,negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,[GET],1,"Cannot login to codex, etc","Tried to login or register with new number but rejected, unable to send a verification code",netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,User556_,1,Bring back GPT 5.3 pls,gpt 5.5’s performance is really bad,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,ciha22,1,JGN DOWNLOAD INI,GA SERU DAN GA SERU BGT SKRG. MENDING APK GEMINI DEH,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Havizroyrozaman,1,An absolute trash marketed as advanced technology,"I’ve provided several data to be compared with a clear command on what has to be done, yet the machine repeatedly fails to read the data correctly and manages to generate misleading analysis results. Months of subscription isn’t justified, so it’s time to cancel the subscription",negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,Suci Ardiana,1,boikot,BOIKOTT CHATGPT!!!!,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Bonar ninggrat,1,Tolo,Lama lelet hasilnya gak jadi2,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,yes bintang,1,Minta upgrade terus,Hanya bisa upload foto dan hasil foto sedikit pelit banget,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Royyo13,1,TOLONG KEMBALIKAN GPT LAMA,Tolong balikin gpt versi lama saya dah nyaman berlanggangan tapi ini sumpah kecewa sama gpt baru,negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,…..67…….,1,Tolong,Aplikasi ini mesum tidak disarankan untuk anak anak di bawa umurr,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Reiza77,1,Ai banyak salah,Saya member premium kecewa,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,SarahSisca,1,Apk Gak jelas,"Makin kesini makin gak jelas apk nya, gak pernah bener promt nya dikerjain, siapa yg mau bayar pro klo kya gni wkwkwk",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,lalsnckeoke,1,Error to log in,"I’ve tried many time to log in but failed. I have tried it a month before but the error still exists until now
the notice: Failed to update user data. Pls try again
error: an error occured during fetching value for the user.403",negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,owsh!tt21,1,zzz,edit foto aja lama bgt bot,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Brad370,1,Animation,Can’t use for?,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Oizzy1345,1,aplikasi jelek,aplikasi kurang ajar nyuruh apa balas dibalas apa,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,awhnf,1,plenger,Chat gpt skrng makin lama makin plenger,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Dabos08,1,Update,Makin di update ai nya makin tolol!,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Fefekjembuta,1,Apk goblok,Apk terTololllll,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,The Curl,1,Model Sudah Versi 5.2 Tapi Masih Tolol,"Di suruh kunci aturan masih melanggar dan buat aruran baru kan tolol. Generate, limit terpakai hasil tidak ada hanya stopped dan parsing error. tidak ada fungsi refund limit harus tunggu 24 jam… goblok mending ga usah ada fiturnya percuma… hapus saja fitur, lebih nyaman fitur itu hilang biar orang tidak berharap lebih… ngapain tool error dipelihara. Kalau memang belum stabil ngapain dimunculkan… hasil jelek pasti keluar kalau bagus pasti peringatan guard. Disuruh kerja ini yang dikerja lain, goblok… kalau cuma recolor semua bisa… satu kata gpt image “Goblok”. Fitur chat sudah keren jadi hancur hanya karena GPT Imagenya tolol.",negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,rusbst,1,error.,"why can’t i get an error suddenly? very bad, i don’t like it.",negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,Hannahhhhh__,1,"not helpful, so dumb","not helpful, so dumb",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Marthienz,1,Ai tidak bisa apa-apa,"Suruh edit surat,asal-asalan,..jawaban dari pertanyaan tidak menjawab permasalahan dan tidak konsisten",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Apa kau liat liat,1,Ai lebay,"Selalu aja kalo ngomongin fakta si ai ini bilang ""ga mungkin, mungkin rumor saja"" halah prett, orang ada beritanya kok, pas aku jawab lagi , eh malah berubah jawaban ai ini, kayak ""oh iya betul !"" Gitu, chatgpt makin oon",negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,Macaroni201,1,Forced emotions,Always so annoying. Trying so hard mimic human-like emotions. Never apologizes clearly for their mistakes. Really believes in themselves and do not like to be programmed.,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,chatgpt 5 suck,1,BRING BACK CHATGPT 4o!,"Please bring back the chatgpt 4o, the current version (5) is so trash and very stiff! From writing essays, answering prompts to roleplaying everything suck! It keeps generating something else, not the ones instructed too. The 4o version is way better, you’re losing users if you don’t bring it back!!",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,TelkomselKebanyakanKoruptor,1,Black screen,iPhone 13 pro max only black screen when open chatGPT,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,gani729,1,Tryhard AI,I dont like the fact that everything i asked and i talked about is always assumed as right or a fact...? Cause thats just wrong,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,vincenttnj,1,Sistem Pembayaran Ribet,"Pake akun apple dengan email samaran, gabisa dipake upgrade

Pake akun lain dengan bayar pakai gopay, nomornya gabisa dipake

Pake login dengan nomor hape, tulisannya account already exist

Nomor gopay hanya media pembayaran, kenapa jadi kaitannya dengan akun?

Tidak jelas, saya orang kerja di bidang teknologi dan pembuat aplikasi, baru kali ini merasa sangat susah hanya untuk berlangganan",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Reaxsh,1,ga bisa daftar atau loginin akun,"sering banget permasalahan gini, sampai skrg sama sekali ga bisa",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,kocakgpt,1,kocakgpt,jawab chat lama kocak,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Maz karebet,1,Not responsif,Responnya lemot kek tahiiiix,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,prsn__0,1,Chatgpt,"aritmatikanya kurang menurut saya, dan biaya perbulannya mahal tapi belum tentu bener",negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,V zxxyy,1,No,"Sumpah sekarang ada limit nya, kalo udh limit jadi salah paham mulu. Ngira aku mau bahas hal negatif terus, sam gpt 5 ga enak. Enakan gpt 4",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Khayrip,1,Timer,I hate it when i have a fav conversation then stoped,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Kepo bgt lo,1,MEREKA KERJA SAMA DENGAN PENTAGON,"Saya tdk mau ai bekerja sama dengan amerika busuk,dia juga sering meminta data data kita serta chat gpt ini berbahaya",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,trùm tạo độ,1,Error,Bị lỗi không đăng nhập được cũng không dùng được,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,JLepi,1,Upgrading package was not worth it,"I upgraded from Go to Plus expecting better and more stable service, but the app keeps stopping and becoming unusable. I already tried logging out, logging back in, and reinstalling the app, but the issue continues.",positif,Pujian/kepuasan,,
ChatGPT,6448311069,doremi ok,1,BRING BACK 4.0GPT,5.0 is so serious i want 4.0 back,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Gassanov,1,AI paling goblok sedunia,"Di suru benerin code malah di sunat mulu, orang lagi ngomong di live chat di potong mulu. Ini ai otak nya isinya Ta1 😡😡",netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,ablabol,1,what a shameless demon,being defensive what a total moron,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Ily ichika,1,jelek,kalo dikasih tugas gapernah bener,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Deddeeeeeeerrrrrrr,1,Aneh,Aneh masa keluar sendiri pas dimasukin ga bisa error mulu padahal uda sebulan dicoba trus pakai akun baru jg ga bisa aneh,negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,yaakiaaa,1,keluhan,tolong ini pihak chatgpt diperbaiki lagi ko punya saya gabisa dibuka yaa dari kemarin chatgpt Nya kira kira kenapa padahal saya lagi ada kepentingan bgt ini tolong segera perbaiki dari sekarang karena mau dipakai terimakasih,negatif,Bug/keluhan teknis,,
ChatGPT,6448311069,Braja12,1,Terbatas,Kurang perfect,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,dantekucrit,1,ChatGPT is NOT AI,"AI stands for Artificial Intelligence. However, ChatGPT is the stupidest AI I’ve ever tried. I had to write a nine-paragraph prompt just to generate one image.",netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,tha1702,1,JELEK BANGETTTT,AI PALING KAKU DAN JELEKKKKK,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,hatters chatgpt,1,gak jelas apk goblok,goblok lgusng gw copot pemasangan gak jlss lo tolol,negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Siisif,1,Entah,Orang nunggu jawaban nya entah kayak mana udah 4 menit ga di buat”.Gimana sih,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Sontoliana,1,Komplain,"Aplikasi bikin emosi terlalu berkelit., tidak fleksibel🤬 uninstall",negatif,Kritik/emosi negatif,,
ChatGPT,6448311069,Erm yh idk man,1,The ai,Wierd and really harsh on me likes to curse too,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
ChatGPT,6448311069,Sthucg,1,Bad user experience,"Makin lama kok makin jelek ya, jadi males pakai AI yg ini",negatif,Kritik/emosi negatif,,
