nama_aplikasi,app_id,nama_pengguna,rating,judul_review,konten_review,label,alasan,review_id,jumlah_like
Gemini,6473753684,Asuuuu dana,1,Erro to login,Fix your apps stupid,negatif,Kritik/emosi negatif,,
Gemini,6473753684,Jacque de l'est,1,The Bugging App,"Sometime the app is debugging. Once you fix it, I’ll give you 5 stars.",negatif,Bug/keluhan teknis,,
Gemini,6473753684,MacMiniMo,1,SORRY BUT CLAUDE IS GETTING WORSE,"On February 2026 everything was good. After that everything's messed up. It's impossible to do coding project and finish it using claude they have strictly limited user usage and response. The system mostly malfunctioning because I only send I simple word to keep the previous progress and the system start processing and then without no result it stopped and ask me to wait for another 5 hours without completing 1 file!! Some other time it asked me to wait 7 hours. I keep reading news yes there are many internal tech issues but 2 months to clear it out with no real user experiences proof seems it just a scam. If you want to do coding with Claude at this moment (even after 2 months with still existing issue) then don't mind for it just leave claude it won't help you with continous coding and better get something ""normal"" for free version other than Claude such as chatgpt go performance still make sense. I'm totally disappointed with Claude even on their public news release they said never downgrade their blablabla but the facts are many users experience it till now. And don't pay for Claude paid subscription because the usage transparency is never clear enough. I tested to make a project on 2 claude accounts, every detail on each project have same words by words. First account start working and I give a gap 2 days after I started on 2nd account. And after 3 weeks the 2nd account finish first by giving me the .zip output meanwhile the first account still keep doing unnecessary things and keep going on 4th weeks. When I asked to first account why it takes so long to finish it the result is ""The main problem is that the container/server resets with every new chat session, so all previously created files are lost, requiring me to rebuild from scratch. This is what's taking so long.""

So 4th weeks for nothing!
I sign up for Claude incidents by email and honesty too many tech issue on your system. So far only February 2026 is the best moment I used claude. Not going to use it again even it's free. Already paid for gemini pro and I already know how to ""deal"" with the gemini prompt so it can keep doing the work focus and make good result.

By the time I edited this review I already delete my clause accounts. Thanks for your services but it just getting worse",negatif,Bug/keluhan teknis,,
Gemini,6473753684,fikriimtiazakbar,1,Can’t sign up,"2 times installation, same probelm at sign up process, “Invalid phone number”. I tried different formats and check my number, all correct but still “invalid phone number”",netral,"Netral (pertanyaan, spam, tanpa muatan)",,
Gemini,6473753684,Willybali,1,Price,"It’s so expensive to upgrade, chat GPT is way cheaper",negatif,Kritik/emosi negatif,,
Gemini,6473753684,Sharta g,1,Sama sekali tidak membantu,Idealis,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
Gemini,6473753684,jo.amon,1,stupid limit,"A single sonnet prompt without thinking took 13% usage on pro, what a scam",negatif,Kritik/emosi negatif,,
Gemini,6473753684,invsmx,1,Kendala Registrasi,Gabisa verif nomor telepon,netral,"Netral (pertanyaan, spam, tanpa muatan)",,
Gemini,6473753684,Dedech30,1,Sign in issue,"I just want to try claude since lot of people recommend, and you know what. First time im downloaded this app everything goes very well and when i need to put my phone number and im exactly doing the same as format template. The response i get was invalid number, then im try to change little bit use + at front and the response still invalid and the last respone is too many attempt. 

Im questioning that im stupid or what since i cant making progress with that issue 🤣",negatif,Bug/keluhan teknis,,
Gemini,6473753684,Yayc_,1,Buat akun,"Paok bgt ih, nomor telp udah bener tp gaisa anehhhh",netral,"Netral (pertanyaan, spam, tanpa muatan)",,
Gemini,6473753684,alfonz84,1,Error,You can now change the app name to error server is overload,negatif,Bug/keluhan teknis,,
